"Total Time (s)","Cycle Elapsed Time (s)","Total Cycles","Elapsed Cycles","Step","Total Cycle Count(8800 (0,3) Waveform)","Position(8800 (0,3):Position) (mm)","Load(8800 (0,3):Load) (kN)","Extension mm from Extensometer (mm)",
2.648,2.648,1,1,1,1,0.392745695757866,13.317859172821,0.150599490217257,
2.659,2.659,1,1,1,1,0.394035590493679,13.3500933647156,0.147500048471975,
2.67,2.67,1,1,1,1,0.395770589751005,13.3801698684692,0.154862414709997,
2.68,2.68,1,1,1,1,0.397905274701118,13.412618637085,0.14189721147089,
2.691,2.691,1,1,1,1,0.399331425923109,13.4415864944458,0.155382167248821,
2.701,2.701,1,1,1,1,0.401239016729593,13.4803771972656,0.152583132934237,
2.712,2.712,1,1,1,1,0.403637130886316,13.5188579559326,0.148653994475603,
2.723,2.723,1,1,1,1,0.404672680181265,13.5477304458618,0.156207095590258,
2.733,2.733,1,1,1,1,0.406680192410946,13.5931134223938,0.144262323941135,
2.744,2.744,1,1,1,1,0.408342521542311,13.6220932006836,0.146226893170452,
2.755,2.755,1,1,1,1,0.408724039703608,13.6579155921936,0.144958506240845,
2.765,2.765,1,1,1,1,0.409868594187498,13.685667514801,0.152502070611668,
2.776,2.776,1,1,1,1,0.412766315460205,13.7249827384949,0.16088963681159,
2.787,2.787,1,1,1,1,0.413384011530876,13.7560963630676,0.15729905275898,
2.797,2.797,1,1,1,1,0.418116653484106,13.7838840484619,0.165734302678061,
2.808,2.808,1,1,1,1,0.417190109378099,13.8175845146179,0.154175769154119,
2.819,2.819,1,1,1,1,0.419124951481819,13.8536095619202,0.158114444356585,
2.829,2.829,1,1,1,1,0.419324794328213,13.8801574707031,0.16570092407465,
2.84,2.84,1,1,1,1,0.421641154593229,13.9166116714478,0.159401904773855,
2.85,2.85,1,1,1,1,0.42363049929142,13.942289352417,0.163326274860573,
2.861,2.861,1,1,1,1,0.424438954442739,13.9764904975891,0.157942782967615,
2.872,2.872,1,1,1,1,0.426337461483479,14.0064835548401,0.166754734268045,
2.882,2.882,1,1,1,1,0.429253350287676,14.0409350395203,0.151810656683874,
2.893,2.893,1,1,1,1,0.430761255401373,14.0740871429443,0.169396412309408,
2.904,2.904,1,1,1,1,0.431624213147163,14.0879034996033,0.171508801068115,
2.914,2.914,1,1,1,1,0.433586306548119,14.1263723373413,0.163784038564491,
2.925,2.925,1,1,1,1,0.433232039684057,14.1576766967773,0.171589863390684,
2.936,2.936,1,1,1,1,0.435548399949074,14.1883850097656,0.165123951072836,
2.946,2.946,1,1,1,1,0.439009314697981,14.211118221283,0.174870503268766,
2.957,2.957,1,1,1,1,0.439645178300142,14.2345309257507,0.166883480309772,
2.967,2.967,1,1,1,1,0.441325674962997,14.2722725868225,0.174412739564848,
2.978,2.978,1,1,1,1,0.443151511877775,14.2917275428772,0.173449528437853,
2.989,2.989,1,1,1,1,0.444886511135101,14.323353767395,0.171699535944748,
2.999,2.999,1,1,1,1,0.445604128628969,14.343249797821,0.176591885530376,
3.01,3.01,1,1,1,1,0.447266457760334,14.3690943717957,0.169448864400482,
3.021,3.021,1,1,1,1,0.450037006312609,14.3955588340759,0.180721295609474,
3.031,3.031,1,1,1,1,0.451726586741209,14.426589012146,0.167903911899757,
3.042,3.042,1,1,1,1,0.451717502975464,14.4514918327332,0.173711788893223,
3.053,3.053,1,1,1,1,0.45457888918519,14.4800543785095,0.173096668916082,
3.063,3.063,1,1,1,1,0.45514208266139,14.5037412643433,0.176491749720144,
3.074,3.074,1,1,1,1,0.458076138997078,14.5274877548218,0.184001935487556,
3.084,3.084,1,1,1,1,0.458239646780491,14.5540714263916,0.176296246471596,
3.095,3.095,1,1,1,1,0.460528755748272,14.5778656005859,0.187158597695827,
3.106,3.106,1,1,1,1,0.462981372499466,14.5972609519958,0.182447446243,
3.116,3.116,1,1,1,1,0.46348097961545,14.6214127540588,0.188174260913897,
3.127,3.127,1,1,1,1,0.466623962563276,14.6526575088501,0.17743111898756,
3.138,3.138,1,1,1,1,0.467605009263754,14.6655321121216,0.182342542060852,
3.148,3.148,1,1,1,1,0.468740479981899,14.6816492080688,0.193009390036535,
3.159,3.159,1,1,1,1,0.469158333206177,14.7043347358704,0.183734906660271,
